name,code,category,retail_price,cost_price,description
"IP Thermal DL Bullet 384x288 25mm","CC354","Surveillance",67580.00,46174.00,"DS-2TD2637-25/QY"
"IP Thermal DL Bullet 384x288 15mm","CC354-1","Surveillance",62030.00,42510.00,"HM-TD2638-15/G0/T1Y"
"IP Thermal DL Bullet 384x288 25mm","CC354-2","Surveillance",73024.00,50386.00,"HM-TD2638-25/G0/T1Y"
"IP Thermal DL Bullet 384x288 35mm","CC354-3","Surveillance",76779.00,52618.00,"HM-TD2638-35/G0/T1Y"
"IP Thermal Bullet 640x512 75mm","CC356","Surveillance",140157.00,95762.00,"DS-2TD2367-75/PY"
"IP Thermal PT 256x192 10mm","CC357","Surveillance",31313.00,21394.00,"DS-2TD4228-10/S2"
"IP Thermal PT 256x192 7mm","CC357-1","Surveillance",30001.40,20498.06,"DS-2TD4228-7/S2"
"IP Thermal PT 384x288 25mm","CC358-1","Surveillance",109091.00,74536.00,"DS-2TD4137-25/WY"
"IP Thermal PT 384x288 25mm","CC358-2","Surveillance",83995.00,57956.00,"DS-2TD4238-25/S2"
"CS-DL05 Smart Fingerprint Lock","LK599-3","Smart Home",2687.00,1847.00,""
"NEW CS-DL05-R200-WBCP-GR(M) Plus Face Palm Rec Smart Finger Lock","LK599-4","Smart Home",6326.00,4349.00,""
"NEW CS-Y3000FVP HP3-Pro Battery Powered Video Door Bell","LK599-5","Smart Home",1573.00,1081.00,""
"NEW HP3-Pro Switch DS-3E0508D-O 8P GB","NW293","Networking",353.00,242.00,"DS-3E0508D-O"
"Switch DS-3E0524-E 24P GB","NW293-3","Networking",1971.31,1350.59,""
"On Request DS-3E0524-E(C) Switch DS-3E1552P-SI 48P PoE Smart","NW294","Networking",14624.28,9991.00,"DS-3E1552P-SI"
"Switch DS-3E1105P-EI 4P PoE Smart","NW295","Networking",869.00,599.00,"DS-3E1105P-EI"
"(V2) Switch DS-3E0505P-E 4P PoE","NW295-1","Networking",918.00,629.00,"DS-3E0505P-E(O-STD)(B)"
"Switch DS-3E1506P-EI 4P PoE Smart","NW295-2","Networking",1143.00,783.00,"DS-3E1506P-EI(O-STD)"
"Switch DS-3E1309P-EI 8P PoE Smart","NW296-1","Networking",1448.00,999.00,"DS-3E1309P-EI(O-STD)(B)"
"Switch DS-3E1510P-EI 8P PoE Smart","NW296-2","Networking",2119.00,1462.00,"DS-3E1510P-EI(O-STD)V2"
"Switch DS-3E1510P-SI 8P PoE Smart","NW296-3","Networking",2885.00,1965.00,"DS-3E1510P-SI(O-STD)"
"Switch DS-3E1318P-EI 16P PoE Smart","NW297-1","Networking",4095.00,2799.00,"DS-3E1318P-EI(O-STD)(B)"
"Switch DS-3E1518P-EI 16P PoE Smart","NW297-2","Networking",5035.00,3474.00,"DS-3E1518P-EI"
"Switch DS-3E1326P-EI 24P PoE Smart","NW298-1","Networking",5260.00,3629.00,"DS-3E1326P-EI(O-STD)(B)"
"Switch DS-3E1526P-EI 24P PoE Smart","NW298-2","Networking",7461.00,5148.00,"DS-3E1526P-EI(O-STD)V2"
"Switch DS-3E2528P(B) 24P GB POE","NW298-4","Networking",17457.00,11927.00,""
"On Request DS-3E2528P(B)(O-STD) Switch DS-3E0524TF 24P GB","NW299","Networking",5783.00,3990.00,"DS-3E0524TF(B)(O-STD)"
"Switch DS-3E2728-HI-24T4X 24P RJ45 Man.","NW370","Networking",7274.00,4985.00,""
"On Request DS-3E2728-HI-24T4X Switch DS-3E2736-HI-24F8T4X 24P SFP Man.","NW371","Networking",14111.00,9736.00,""
"On Request DS-3E2736-HI-24F8T4X Switch DS-3E3728-H 24P L3 Managed","NW372","Networking",47415.00,32494.00,""
"On Request DS-3E3728-H Switch DS-3T1306P-SI/HS 4P PoE Man. Ind","NW380","Networking",1582.00,1152.00,""
"On Request DS-3T1306P-SI/HS Switch DS-3T1512HP-SI-8 8P PoE Man. Ind.","NW381","Networking",3364.00,2321.00,""
"On Request DS-3T1512HP-SI-8P4F Switch DS-3T1506HP-EI-UPS PoE Smart Sola","NW382","Networking",3287.00,2296.00,""
"On Request DS-3T1506HP-EI-UPS(O-STD) Switch DS-3T1310P-SI/HS 8P Smart Harsh P","NW384","Networking",3443.00,2352.00,""
"On Request DS-3T1310P-SI/HS PSU DRL-48V75W1AZ Ind Din Rail","NW386","Networking",616.00,455.00,""
"On Request DRL-48V75W1AZ 1200Mbps Wi-Fi 5 AP DS-3WAP522-SI","NW350","Networking",1414.00,965.00,"DS-3WAP522-SI(O-STD)"
"1800Mbps Wi-Fi 6 AP DS-3WAP622G-SI","NW351","Networking",2287.00,1568.00,"DS-3WAP622G-SI(O-STD)"
"3000Mbps Wi-Fi 6 AP DS-3WAP622E-SI","NW352","Networking",2740.98,1877.91,""
"On Request DS-3WAP622E-SI(O-STD) 3000Mbps Out. Wi-Fi 6 AP DS-3WAP623E-SI","NW353","Networking",3300.00,2277.00,"DS-3WAP623E-SI"
"5 Port AC Router DS-3WG105G-SI","NW360","Networking",1708.00,1178.00,"DS-3WG105G-SI"
